step,potential_energy,temperature
568000,-3897.6000000000113,1.0
569000,-4002.0000000000146,1.0
570000,-3938.2000000000166,1.0
571000,-3845.4000000000124,1.0
572000,-3967.2000000000126,1.0
573000,-4013.600000000013,1.0
574000,-3961.400000000014,1.0
575000,-4054.200000000011,1.0
576000,-3978.800000000013,1.0
577000,-4048.400000000013,1.0
578000,-4031.0000000000123,1.0
579000,-4129.60000000001,1.0
580000,-4025.200000000013,1.0
581000,-4089.0000000000136,1.0
582000,-4077.4000000000133,1.0
583000,-4083.200000000014,1.0
584000,-4071.600000000013,1.0
585000,-4048.400000000014,1.0
586000,-4036.8000000000156,1.0
587000,-4129.600000000016,1.0
588000,-4141.200000000016,1.0
589000,-4118.000000000014,1.0
590000,-4112.200000000015,1.0
591000,-4083.200000000016,1.0
592000,-4036.800000000015,1.0
593000,-4100.600000000015,1.0
594000,-4083.2000000000144,1.0
595000,-4013.6000000000136,1.0
596000,-4054.200000000015,1.0
597000,-4013.6000000000126,1.0
598000,-4083.200000000016,1.0
599000,-4176.000000000014,1.0
600000,-4141.200000000013,1.0
601000,-4147.000000000015,1.0
602000,-4147.000000000015,1.0
603000,-4164.400000000013,1.0
604000,-4176.000000000011,1.0
605000,-4193.400000000013,1.0
606000,-4129.600000000015,1.0
607000,-4193.400000000013,1.0
608000,-4181.800000000015,1.0
609000,-4239.800000000017,1.0
610000,-4158.600000000015,1.0
611000,-4135.400000000015,1.0
612000,-4205.000000000015,1.0
613000,-4216.600000000013,1.0
614000,-4129.600000000012,1.0
615000,-4170.200000000012,1.0
616000,-4222.4000000000115,1.0
617000,-4135.40000000001,1.0
618000,-4187.60000000001,1.0
619000,-4152.800000000013,1.0
620000,-4083.200000000011,1.0
621000,-4193.400000000011,1.0
622000,-4123.800000000012,1.0
623000,-4071.600000000011,1.0
624000,-4077.4000000000124,1.0
625000,-4158.600000000011,1.0
626000,-4181.800000000012,1.0
627000,-4129.600000000013,1.0
628000,-4164.400000000013,1.0
629000,-4141.200000000013,1.0
630000,-4158.600000000012,1.0
631000,-4234.000000000015,1.0
632000,-4210.800000000014,1.0
633000,-4170.200000000012,1.0
634000,-4216.600000000013,1.0
635000,-4216.600000000013,1.0
636000,-4239.800000000013,1.0
637000,-4251.400000000014,1.0
638000,-4199.2000000000135,1.0
639000,-4234.000000000015,1.0
640000,-4118.000000000012,1.0
641000,-4013.6000000000104,1.0
642000,-4089.000000000012,1.0
643000,-4083.200000000013,1.0
644000,-4060.0000000000123,1.0
645000,-4118.000000000012,1.0
646000,-4065.80000000001,1.0
647000,-4123.800000000013,1.0
648000,-4048.400000000013,1.0
649000,-4060.0000000000127,1.0
650000,-4054.200000000013,1.0
651000,-4094.800000000011,1.0
652000,-4147.000000000014,1.0
653000,-4100.60000000001,1.0
654000,-4222.400000000011,1.0
655000,-4152.800000000011,1.0
656000,-4216.600000000014,1.0
657000,-4100.600000000011,1.0
658000,-4100.600000000011,1.0
659000,-4083.2000000000103,1.0
660000,-4100.600000000009,1.0
661000,-4106.40000000001,1.0
662000,-4147.000000000012,1.0
663000,-4152.80000000001,1.0
664000,-4170.200000000013,1.0
665000,-4152.800000000014,1.0
666000,-4123.800000000011,1.0
667000,-4216.600000000013,1.0
668000,-4239.800000000013,1.0
669000,-4321.000000000014,1.0
670000,-4274.600000000015,1.0
671000,-4268.800000000015,1.0
672000,-4257.200000000013,1.0
673000,-4268.800000000014,1.0
674000,-4251.400000000014,1.0
